PID,BlockName,ReactionTime,ReactionTimeLog,Feature,ElemNum,SpatialPattern,IsCorrect,TrialNum,TargetRegion,CenterOrPeriph,Target2CenterDis
6,Shape_768_Gridded,4091.9999999999995,3.6119356250401227,Shape,768,Gridded,yes,10,5,Periphery,0.581193923
6,Hue_192_Gridded,4131.0,3.6160551949765862,Hue,192,Gridded,yes,8,4,Center,0.12529399
6,Hue_192_Gridded,397.0,2.598790506763115,Hue,192,Gridded,yes,4,2,Center,0.231161215
6,Hue_192_Gridded,468.0,2.670245853074124,Hue,192,Gridded,yes,9,5,Periphery,0.452563883
6,Hue_192_Gridded,2395.0,3.379305517750582,Hue,192,Gridded,yes,3,2,Center,0.12529399
6,Hue_192_Gridded,465.0,2.667452952889954,Hue,192,Gridded,yes,2,1,Center,0.202626762
6,Hue_192_Gridded,484.0,2.6848453616444123,Hue,192,Gridded,yes,14,7,Periphery,0.452563883
6,Hue_192_Gridded,438.0,2.6414741105040997,Hue,192,Gridded,yes,13,7,Periphery,0.438970028
6,Hue_192_Gridded,418.0,2.621176281775035,Hue,192,Gridded,yes,1,1,Center,0.168330055
6,Hue_192_Gridded,502.0,2.7007037171450192,Hue,192,Gridded,yes,15,8,Periphery,0.35867929
6,Hue_192_Gridded,642.0,2.807535028068853,Hue,192,Gridded,yes,11,6,Periphery,0.585253896
6,Hue_192_Gridded,2689.0,3.4295908022233017,Hue,192,Gridded,yes,10,5,Periphery,0.280550092
6,Hue_192_Gridded,425.0,2.6283889300503116,Hue,192,Gridded,yes,7,4,Center,0.231161215
6,Hue_192_Gridded,492.0,2.69196510276736,Hue,192,Gridded,yes,12,6,Periphery,0.693483645
6,Hue_192_Gridded,474.0,2.6757783416740852,Hue,192,Gridded,yes,5,3,Center,0.168330055
6,Hue_192_Gridded,1036.0,3.0153597554092144,Hue,192,Gridded,yes,16,8,Periphery,0.693483645
6,Hue_192_Gridded,479.0,2.680335513414563,Hue,192,Gridded,yes,6,3,Center,0.202626762
6,Hue_48_Random,445.0,2.6483600109809315,Hue,48,Random,yes,5,1,Center,0.2257490447937698
6,Hue_48_Random,1550.0,3.1903316981702914,Hue,48,Random,yes,3,5,Periphery,0.42257997817374
6,Hue_48_Random,715.0,2.8543060418010806,Hue,48,Random,yes,14,4,Center,0.2730861566449883
6,Hue_48_Random,1419.0,3.151982395457474,Hue,48,Random,yes,2,8,Periphery,0.627586892023507
6,Hue_48_Random,971.0,2.9872192299080047,Hue,48,Random,yes,10,7,Periphery,0.5745117035633112
6,Hue_48_Random,479.0,2.680335513414563,Hue,48,Random,yes,4,1,Center,0.19274400665608235
6,Hue_48_Random,397.0,2.598790506763115,Hue,48,Random,yes,9,2,Center,0.18840833962371725
6,Hue_48_Random,451.0,2.6541765418779604,Hue,48,Random,yes,8,5,Periphery,0.4448325389251278
6,Hue_48_Random,498.0,2.6972293427597176,Hue,48,Random,yes,13,2,Center,0.25228111013961313
6,Hue_48_Random,514.0,2.710963118995276,Hue,48,Random,yes,7,6,Periphery,0.5991507647411672
6,Hue_48_Random,1089.0,3.037027879755775,Hue,48,Random,yes,1,8,Periphery,0.28603160799057714
6,Hue_48_Random,372.0,2.5705429398818973,Hue,48,Random,yes,6,3,Center,0.153830450583277
6,Hue_48_Random,597.0,2.775974331129369,Hue,48,Random,yes,11,3,Center,0.2107737312478814
6,Hue_48_Random,493.0,2.69284691927723,Hue,48,Random,yes,16,7,Periphery,0.41468844891265355
6,Hue_48_Random,481.0,2.682145076373832,Hue,48,Random,yes,12,6,Periphery,0.4755770044817446
6,Hue_48_Random,466.0,2.66838591669,Hue,48,Random,yes,15,4,Center,0.18843608433178524
6,Length_12_Gridded,581.0,2.7641761323903307,Length,12,Gridded,yes,7,4,Center,0.13787221
6,Length_12_Gridded,773.0,2.888179493918325,Length,12,Gridded,yes,4,2,Center,0.413616631
6,Length_12_Gridded,436.0,2.639486489268586,Length,12,Gridded,yes,11,6,Periphery,0.311429528
6,Length_12_Gridded,503.0,2.7015679850559273,Length,12,Gridded,yes,10,5,Periphery,0.311429528
6,Length_12_Gridded,914.0,2.960946195733831,Length,12,Gridded,yes,2,1,Center,0.413616631
6,Length_12_Gridded,714.0,2.8536982117761744,Length,12,Gridded,yes,8,4,Center,0.311429528
6,Length_12_Gridded,454.0,2.6570558528571038,Length,12,Gridded,yes,3,2,Center,0.13787221
6,Length_12_Gridded,675.0,2.829303772831025,Length,12,Gridded,yes,6,3,Center,0.413616631
6,Length_12_Gridded,885.0,2.9469432706978256,Length,12,Gridded,yes,12,6,Periphery,0.499057433
6,Length_12_Gridded,819.0,2.9132839017604186,Length,12,Gridded,yes,14,7,Periphery,0.499057433
6,Length_12_Gridded,607.0,2.7831886910752575,Length,12,Gridded,yes,16,8,Periphery,0.311429528
6,Length_12_Gridded,1634.0,3.2132520521963968,Length,12,Gridded,yes,15,8,Periphery,0.499057433
6,Length_12_Gridded,487.0,2.6875289612146345,Length,12,Gridded,yes,13,7,Periphery,0.13787221
6,Length_12_Gridded,706.0,2.8488047010518036,Length,12,Gridded,yes,1,1,Center,0.311429528
6,Length_12_Gridded,733.0,2.8651039746411278,Length,12,Gridded,yes,5,3,Center,0.499057433
6,Length_12_Gridded,2824.0,3.450864692379766,Length,12,Gridded,yes,9,5,Periphery,0.499057433
6,Hue_192_Random,484.0,2.6848453616444123,Hue,192,Random,yes,9,8,Periphery,0.5533475173225693
6,Hue_192_Random,452.0,2.655138434811382,Hue,192,Random,yes,4,6,Periphery,0.6998779869380178
6,Hue_192_Random,5342.0,3.727703883685354,Hue,192,Random,yes,7,7,Periphery,0.45617588764993516
6,Hue_192_Random,514.0,2.710963118995276,Hue,192,Random,yes,5,2,Center,0.21865749108666271
6,Hue_192_Random,588.0,2.7693773260761385,Hue,192,Random,yes,16,5,Periphery,0.5113441984945444
6,Hue_192_Random,451.0,2.6541765418779604,Hue,192,Random,yes,6,1,Center,0.24221186977803882
6,Hue_192_Random,3331.0,3.522574632691177,Hue,192,Random,yes,3,8,Periphery,0.6823390569744362
6,Hue_192_Random,547.0,2.737987326333431,Hue,192,Random,yes,1,5,Periphery,0.4948364125186796
6,Hue_192_Random,464.0,2.6665179805548807,Hue,192,Random,yes,12,3,Center,0.06621208467248708
6,Hue_192_Random,504.0,2.7024305364455254,Hue,192,Random,yes,8,7,Periphery,0.3434997907784847
6,Hue_192_Random,666.0,2.823474229170301,Hue,192,Random,yes,10,4,Center,0.24948673522456136
6,Hue_192_Random,474.0,2.6757783416740852,Hue,192,Random,yes,15,4,Center,0.2416110875310049
6,Hue_192_Random,485.0,2.6857417386022635,Hue,192,Random,yes,11,3,Center,0.2060459847691097
6,Hue_192_Random,492.0,2.69196510276736,Hue,192,Random,yes,14,2,Center,0.20504600103737733
6,Hue_192_Random,466.0,2.66838591669,Hue,192,Random,yes,2,6,Periphery,0.6865074856961952
6,Hue_192_Random,529.0,2.7234556720351857,Hue,192,Random,yes,13,1,Center,0.26563949582500757
6,Length_768_Random,5967.0,3.775756037844098,Length,768,Random,yes,6,7,Periphery,0.5109149447092456
6,Length_768_Random,11401.0,4.056942945672877,Length,768,Random,yes,9,4,Center,0.2540068512897407
6,Length_768_Random,1085.0,3.0354297381845483,Length,768,Random,yes,3,1,Center,0.19151950939953827
6,Length_768_Random,766.0,2.884228769632604,Length,768,Random,yes,15,2,Center,0.020086799884765718
6,Length_768_Random,825.0,2.916453948549925,Length,768,Random,yes,2,4,Center,0.11158587313349465
6,Length_768_Random,3880.0,3.5888317255942073,Length,768,Random,yes,11,8,Periphery,0.5977528423858308
6,Length_768_Random,8599.0,3.93444794894897,Length,768,Random,yes,1,1,Center,0.15093980517626263
6,Length_768_Random,7004.0,3.8453461374114086,Length,768,Random,yes,7,6,Periphery,0.6993270531878681
6,Length_768_Random,1027.0,3.0115704435972783,Length,768,Random,yes,10,2,Center,0.1524392494087626
6,Length_768_Random,2017.0,3.3047058982127653,Length,768,Random,yes,14,3,Center,0.16740461806446005
6,Length_768_Random,19209.0,4.28350475654383,Length,768,Random,yes,16,7,Periphery,0.46793488935688715
6,Length_768_Random,7423.0,3.8705794605526846,Length,768,Random,yes,4,5,Periphery,0.43398187148378664
6,Length_768_Random,16091.999999999998,4.2066100238992234,Length,768,Random,yes,5,6,Periphery,0.5695695141878472
6,Length_768_Random,10016.0,4.000694315866355,Length,768,Random,yes,12,5,Periphery,0.6245656049518726
6,Length_768_Random,null,null,Length,768,Random,no,8,8,Periphery,0.41959169888871667
6,Length_768_Random,null,null,Length,768,Random,no,13,3,Center,0.19662379628232665
6,Hue_12_Gridded,493.0,2.69284691927723,Hue,12,Gridded,yes,3,2,Center,0.13787221
6,Hue_12_Gridded,757.0,2.8790958795000727,Hue,12,Gridded,yes,10,5,Periphery,0.311429528
6,Hue_12_Gridded,541.0,2.7331972651065692,Hue,12,Gridded,yes,16,8,Periphery,0.499057433
6,Hue_12_Gridded,525.0,2.720159303405957,Hue,12,Gridded,yes,6,3,Center,0.499057433
6,Hue_12_Gridded,425.0,2.6283889300503116,Hue,12,Gridded,yes,2,1,Center,0.311429528
6,Hue_12_Gridded,450.0,2.6532125137753435,Hue,12,Gridded,yes,13,7,Periphery,0.311429528
6,Hue_12_Gridded,417.0,2.6201360549737576,Hue,12,Gridded,yes,1,1,Center,0.499057433
