	Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE	Reaction Time
"ySigma[1,1,2,2]"	0.116652007	0.1146925	0.112841037	4723.7	0.95	0.080199	0.158692	NA	NA	NA	NA	NA	NA	NA	313.8619441
"ySigma[2,1,2,2]"	0.153003197	0.1507715	0.151152186	4411.3	0.95	0.106776	0.203944	NA	NA	NA	NA	NA	NA	NA	430.1911298
"ySigma[1,2,2,2]"	0.137076133	0.134692	0.131333317	4306.6	0.95	0.0954822	0.181738	NA	NA	NA	NA	NA	NA	NA	378.0217832
"ySigma[2,2,2,2]"	0.20039144	0.1974655	0.191999835	5494.6	0.95	0.145563	0.261223	NA	NA	NA	NA	NA	NA	NA	597.2228834
"ySigma[1,1,3,2]"	0.263902991	0.260566	0.256149073	4487.1	0.95	0.18738	0.346664	NA	NA	NA	NA	NA	NA	NA	851.6729424
"ySigma[2,1,3,2]"	0.261826803	0.2584795	0.249800571	5022.3	0.95	0.190138	0.338711	NA	NA	NA	NA	NA	NA	NA	842.7532967
"ySigma[1,2,3,2]"	0.221806059	0.218732	0.209110862	4796.8	0.95	0.15549	0.289656	NA	NA	NA	NA	NA	NA	NA	678.8940559
"ySigma[2,2,3,2]"	0.21872059	0.2156645	0.212689973	5184.1	0.95	0.156689	0.287595	NA	NA	NA	NA	NA	NA	NA	666.8769148
"ySigma[1,1,1,3]"	0.166755939	0.1634895	0.159651785	3660.2	0.95	0.106952	0.227834	NA	NA	NA	NA	NA	NA	NA	476.8036633
"ySigma[2,1,1,3]"	0.115265545	0.1133185	0.110802659	4221.2	0.95	0.0834352	0.15274	NA	NA	NA	NA	NA	NA	NA	309.6149411
"ySigma[1,2,1,3]"	0.141607003	0.1398185	0.134638491	4957.3	0.95	0.0965673	0.188033	NA	NA	NA	NA	NA	NA	NA	392.6685166
"ySigma[2,2,1,3]"	0.183832581	0.180713	0.176029274	4032.5	0.95	0.127833	0.244753	NA	NA	NA	NA	NA	NA	NA	536.7745414
"ySigma[1,1,2,3]"	0.160360597	0.1578595	0.153548188	4615.6	0.95	0.115946	0.21044	NA	NA	NA	NA	NA	NA	NA	454.9440895
"ySigma[2,1,2,3]"	0.297985403	0.2947515	0.292942581	5439.5	0.95	0.217551	0.380626	NA	NA	NA	NA	NA	NA	NA	1004.359794
"ySigma[1,2,2,3]"	0.232034348	0.229352	0.222870215	4998	0.95	0.170994	0.298221	NA	NA	NA	NA	NA	NA	NA	719.3468867
"ySigma[2,2,2,3]"	0.229145505	0.2259535	0.222369605	4872.1	0.95	0.163476	0.29892	NA	NA	NA	NA	NA	NA	NA	707.8248215
"ySigma[1,1,3,3]"	0.387203296	0.382518	0.372313613	4493.9	0.95	0.288753	0.501378	NA	NA	NA	NA	NA	NA	NA	1465.704358
"ySigma[2,1,3,3]"	0.348065814	0.343973	0.334919993	5565.5	0.95	0.256695	0.450849	NA	NA	NA	NA	NA	NA	NA	1251.61747
"ySigma[1,2,3,3]"	0.274987829	0.271491	0.268394375	5183	0.95	0.198023	0.363187	NA	NA	NA	NA	NA	NA	NA	900.0235837
"ySigma[2,2,3,3]"	0.248894698	0.2459485	0.234196648	4647	0.95	0.177088	0.324944	NA	NA	NA	NA	NA	NA	NA	788.1446127
"ySigma[1,1,1,4]"	0.225505415	0.222301	0.216229221	4934.5	0.95	0.163747	0.297735	NA	NA	NA	NA	NA	NA	NA	693.4151349
"ySigma[2,1,1,4]"	0.214742601	0.2119235	0.203953182	5310.9	0.95	0.158699	0.277449	NA	NA	NA	NA	NA	NA	NA	651.5090941
"ySigma[1,2,1,4]"	0.273681359	0.270114	0.266455231	4708.5	0.95	0.193391	0.362044	NA	NA	NA	NA	NA	NA	NA	894.2605681
"ySigma[2,2,1,4]"	0.228059426	0.2253145	0.21677824	4632	0.95	0.163947	0.295486	NA	NA	NA	NA	NA	NA	NA	703.5128113
"ySigma[1,1,2,4]"	0.232976119	0.229856	0.221523394	4605.9	0.95	0.1687	0.29951	NA	NA	NA	NA	NA	NA	NA	723.1197074
"ySigma[2,1,2,4]"	0.419468493	0.414913	0.409252466	4986.8	0.95	0.316189	0.532564	NA	NA	NA	NA	NA	NA	NA	1657.300068
"ySigma[1,2,2,4]"	0.243575514	0.240675	0.232681945	5383.3	0.95	0.176357	0.313328	NA	NA	NA	NA	NA	NA	NA	766.1508994
"ySigma[2,2,2,4]"	0.282473311	0.2785485	0.271480419	4612.7	0.95	0.20594	0.368061	NA	NA	NA	NA	NA	NA	NA	933.3793881
"ySigma[1,1,3,4]"	0.394213397	0.3904945	0.387115061	4682.8	0.95	0.29966	0.502555	NA	NA	NA	NA	NA	NA	NA	1506.129637
"ySigma[2,1,3,4]"	0.405894252	0.4015135	0.38874865	4614.7	0.95	0.297452	0.519575	NA	NA	NA	NA	NA	NA	NA	1574.956387
"ySigma[1,2,3,4]"	0.345573787	0.3415115	0.331665444	4482	0.95	0.249383	0.448293	NA	NA	NA	NA	NA	NA	NA	1238.628081
"ySigma[2,2,3,4]"	0.291245118	0.287451	0.280238499	5121.1	0.95	0.208188	0.37035	NA	NA	NA	NA	NA	NA	NA	973.2058146
sigmaMode	0.177152131	0.1776	0.178376035	3632.2	0.95	0.146736	0.205591	NA	NA	NA	NA	NA	NA	NA	513.0324988
sigmaSD	0.094185358	0.0928348	0.092632989	3190.8	0.95	0.0686886	0.120632	NA	NA	NA	NA	NA	NA	NA	246.684866
nu	5.540915138	5.44394	5.429462653	1741.2	0.95	4.09197	7.21106	NA	NA	NA	NA	NA	NA	NA	353927157.4
