Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
b1b2b3b4[1,1,2,4]	-0.0434234507440665	-0.04382045	-0.0428768166378048	29254.9	0.95	-0.127243	0.0402317	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,1,2,4]	0.1764950609151	0.1763765	0.173661007461426	21943.3	0.95	0.0409391	0.314265	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,2,2,4]	-0.067374641230334	-0.06725795	-0.0619118649410183	29625.3	0.95	-0.154461	0.0177883	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,2,2,4]	0.4603957138	0.461334	0.460773436886181	21028.9	0.95	0.352871	0.565856	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,1,3,4]	-0.127436203384254	-0.1276595	-0.122977094312724	26108.2	0.95	-0.259872	0.00115015	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,1,3,4]	-0.046654665319676	-0.04682595	-0.0450187314988666	26703.1	0.95	-0.175217	0.0824922	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,2,3,4]	0.139914298782128	0.1400915	0.139259176905545	28891.3	0.95	0.0233604	0.255767	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,2,3,4]	0.124651497977163	0.1249675	0.124792850899088	30474.4	0.95	0.0200579	0.225565	NA	NA	NA	NA	NA	NA	NA
m[1,1,1,1]	2.5527187002	2.55266	2.55299795449403	32390.9	0.95	2.50533	2.59828	NA	NA	NA	NA	NA	NA	NA
m[2,1,1,1]	2.657628795	2.65769	2.65581503336231	32003.5	0.95	2.60234	2.71178	NA	NA	NA	NA	NA	NA	NA
m[1,2,1,1]	2.5892119352	2.58894	2.5866775821674	33339.8	0.95	2.53493	2.64482	NA	NA	NA	NA	NA	NA	NA
m[2,2,1,1]	2.6664371934	2.66639	2.66693959925844	31180.7	0.95	2.61156	2.72093	NA	NA	NA	NA	NA	NA	NA
m[1,1,2,1]	2.7621615174	2.76198	2.75890683016977	34862.2	0.95	2.71784	2.80654	NA	NA	NA	NA	NA	NA	NA
m[2,1,2,1]	2.758812869	2.75869	2.75996512728832	34699.5	0.95	2.72611	2.78994	NA	NA	NA	NA	NA	NA	NA
m[1,2,2,1]	2.792148735	2.7916	2.78558870698448	29242.1	0.95	2.73725	2.84856	NA	NA	NA	NA	NA	NA	NA
m[2,2,2,1]	2.8521629588	2.851845	2.84975162088197	34502.9	0.95	2.81562	2.89032	NA	NA	NA	NA	NA	NA	NA
m[1,1,3,1]	3.0162829544	3.015985	3.01528619664259	29438.8	0.95	2.92854	3.10398	NA	NA	NA	NA	NA	NA	NA
m[2,1,3,1]	2.9367088612	2.93655	2.93958944063222	32002.2	0.95	2.87739	2.99553	NA	NA	NA	NA	NA	NA	NA
m[1,2,3,1]	3.0084650488	3.00779	3.0072290709601	29261	0.95	2.93217	3.08244	NA	NA	NA	NA	NA	NA	NA
m[2,2,3,1]	3.1654783286	3.16573	3.17009245660992	31960.8	0.95	3.09378	3.23514	NA	NA	NA	NA	NA	NA	NA
m[1,1,1,2]	2.6314678574	2.63187	2.63206983728283	28845.5	0.95	2.57422	2.68618	NA	NA	NA	NA	NA	NA	NA
m[2,1,1,2]	2.662859458	2.66306	2.66712848299188	32055.5	0.95	2.60361	2.71763	NA	NA	NA	NA	NA	NA	NA
m[1,2,1,2]	2.646159704	2.645895	2.64551909452123	31072.9	0.95	2.57722	2.71475	NA	NA	NA	NA	NA	NA	NA
m[2,2,1,2]	2.7342034254	2.73444	2.73912445222912	29689	0.95	2.65968	2.8098	NA	NA	NA	NA	NA	NA	NA
m[1,1,2,2]	2.7772087268	2.776745	2.77944291671135	29800.7	0.95	2.73178	2.82456	NA	NA	NA	NA	NA	NA	NA
m[2,1,2,2]	2.8712571788	2.87067	2.86866950264221	31221.7	0.95	2.81237	2.93165	NA	NA	NA	NA	NA	NA	NA
m[1,2,2,2]	2.9566139216	2.95657	2.95552787986503	33262.9	0.95	2.90139	3.01104	NA	NA	NA	NA	NA	NA	NA
m[2,2,2,2]	3.1312594368	3.13094	3.13251189540305	30867	0.95	3.0521	3.2099	NA	NA	NA	NA	NA	NA	NA
m[1,1,3,2]	2.9791809008	2.978115	2.98230540958923	27169	0.95	2.88076	3.0852	NA	NA	NA	NA	NA	NA	NA
m[2,1,3,2]	3.0694503158	3.06829	3.07163398080778	22573.4	0.95	2.9671	3.17795	NA	NA	NA	NA	NA	NA	NA
m[1,2,3,2]	3.3561043202	3.35651	3.35499082961809	30500.9	0.95	3.26351	3.44383	NA	NA	NA	NA	NA	NA	NA
m[2,2,3,2]	3.2655592612	3.26495	3.26521408341838	30429	0.95	3.17928	3.35243	NA	NA	NA	NA	NA	NA	NA
m[1,1,1,3]	2.6263414066	2.625995	2.62770019014254	28790	0.95	2.56296	2.69033	NA	NA	NA	NA	NA	NA	NA
m[2,1,1,3]	2.624652879	2.62484	2.6249388760123	33935.7	0.95	2.57892	2.67014	NA	NA	NA	NA	NA	NA	NA
m[1,2,1,3]	2.6892250224	2.68907	2.6879176378799	32810.9	0.95	2.63357	2.74467	NA	NA	NA	NA	NA	NA	NA
m[2,2,1,3]	2.6228894426	2.622405	2.62308288429334	28494.4	0.95	2.55346	2.69555	NA	NA	NA	NA	NA	NA	NA
m[1,1,2,3]	2.9150783994	2.91494	2.91626538579961	33360.9	0.95	2.85387	2.98018	NA	NA	NA	NA	NA	NA	NA
m[2,1,2,3]	3.1254957602	3.12493	3.12180811279158	20286.9	0.95	3.00979	3.23994	NA	NA	NA	NA	NA	NA	NA
m[1,2,2,3]	3.2034993512	3.2037	3.20456276964824	29365.8	0.95	3.11045	3.29164	NA	NA	NA	NA	NA	NA	NA
m[2,2,2,3]	3.4016790986	3.40159	3.40320382196691	30176	0.95	3.31441	3.49229	NA	NA	NA	NA	NA	NA	NA
m[1,1,3,3]	3.1708388202	3.1699	3.17455252927151	19770.7	0.95	3.02345	3.32688	NA	NA	NA	NA	NA	NA	NA
m[2,1,3,3]	3.3664466576	3.36611	3.3599266490077	20556.5	0.95	3.22671	3.50801	NA	NA	NA	NA	NA	NA	NA
m[1,2,3,3]	3.499674415	3.499445	3.49885891710908	27002.6	0.95	3.38695	3.6137	NA	NA	NA	NA	NA	NA	NA
